titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"Anotei","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"Recicla Atalaia","Marca","COLÉGIO DE APLICAÇÃO","Outra","Ciências Ambientais"
"Desenvolvimento de doce a partir do reaproveitamento de resíduos de frutos regionais.","Patente","CAMPUS DO SERTÃO","Ciências Agrárias","Aproveitamento de Subprodutos"
"EXTRATOS ANTIOXIDANTES E ANTIMICROBIANOS DE PARTES DO FRUTO DE Morinda citrifolia NOS ESTÁDIOS VERDE E MADURO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência e Tecnologia de Alimentos"
"VetoresMT - Ovitrampa","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"MANTEIGA DE GARRAFA ENRIQUECIDA COM MILICÁPSULAS DE TOMATE  DEFUMADO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"Bebida Probiótica a base de água de coco e fruta nativa","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"PREPARAÇÃO FARMACÊUTICA CONTENDO FITOL","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
"PR-ET Mobile","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Hidrologia"
"PR-ET Mobile","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Hidrologia"
"BIOMATERIAIS PARA CICATRIZAÇÃO DE FERIDAS","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmácia"
"Hydrophobicity Cam","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Transmissão da Energia Elétrica, Distribuição da Energia Elétrica"
